date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:51	59961/59961	---M-Z	200	added ('OK')	text/html	etag:%22ea39-64b3cf04-e29275cd2a1e6944;gz%22	https://html.creativegigstf.com/jobi/jobi/index-6.html	E:/hb1/html.creativegigstf.com/jobi/jobi/index-6.html	(from )
11:57:51	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-615ddcfd-32fff0844d9e3e43;gz%22	https://html.creativegigstf.com/robots.txt		(from )
11:57:55	1183/1183	---M--	200	added ('OK')	image/png	etag:%2249f-64b3cf04-a4a7c521b688e3a3;;;%22	https://html.creativegigstf.com/jobi/jobi/images/fav-icon/icon.png	E:/hb1/html.creativegigstf.com/jobi/jobi/images/fav-icon/icon.png	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:57:55	277104/277104	---M--	200	added ('OK')	image/png	etag:%2243a70-64b3cf04-15e43d730751a8a;;;%22	https://html.creativegigstf.com/jobi/jobi/images/assets/ogg.png	E:/hb1/html.creativegigstf.com/jobi/jobi/images/assets/ogg.png	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:57:57	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%2228021-64b3cf04-32ace0d6a5b0b93b;gz%22	https://html.creativegigstf.com/jobi/jobi/css/bootstrap.min.css	E:/hb1/html.creativegigstf.com/jobi/jobi/css/bootstrap.min.css	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:57:57	172595/172595	---M-Z	200	added ('OK')	text/css	etag:%222a233-64b3cf04-48067b654a688800;gz%22	https://html.creativegigstf.com/jobi/jobi/css/style.min.css	E:/hb1/html.creativegigstf.com/jobi/jobi/css/style.min.css	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:57:57	30922/30922	---M-Z	200	added ('OK')	text/css	etag:%2278ca-64b3cf04-3d0b1f883fc23ab9;gz%22	https://html.creativegigstf.com/jobi/jobi/css/responsive.css	E:/hb1/html.creativegigstf.com/jobi/jobi/css/responsive.css	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:57:58	272/272	---M--	200	added ('OK')	image/svg+xml	etag:%22110-64b3cf04-3df5f0c9298ca6d6;;;%22	https://html.creativegigstf.com/jobi/jobi/images/loader.svg	E:/hb1/html.creativegigstf.com/jobi/jobi/images/loader.svg	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:57:59	51421/51421	---M-Z	200	added ('OK')	text/html	etag:%22c8dd-64b3cf04-898ed784f0044b5b;gz%22	https://html.creativegigstf.com/jobi/jobi/index.html	E:/hb1/html.creativegigstf.com/jobi/jobi/index.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:57:59	1315/1315	---M--	200	added ('OK')	image/png	etag:%22523-64b3cf04-26cc150281248475;;;%22	https://html.creativegigstf.com/jobi/jobi/images/logo/logo_06.png	E:/hb1/html.creativegigstf.com/jobi/jobi/images/logo/logo_06.png	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:57:59	23591/23591	---M-Z	200	added ('OK')	text/html	etag:%225c27-64b3cf04-2b9281eb3971dda4;gz%22	https://html.creativegigstf.com/jobi/jobi/dashboard/employer-dashboard-submit-job.html	E:/hb1/html.creativegigstf.com/jobi/jobi/dashboard/employer-dashboard-submit-job.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:00	19755/19755	---M-Z	200	added ('OK')	text/html	etag:%224d2b-64b3cf04-ebcd70456750f899;gz%22	https://html.creativegigstf.com/jobi/jobi/dashboard/candidate-dashboard-index.html	E:/hb1/html.creativegigstf.com/jobi/jobi/dashboard/candidate-dashboard-index.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:00	20734/20734	---M-Z	200	added ('OK')	text/html	etag:%2250fe-6565700f-1a93c0c0cfe884a0;gz%22	https://html.creativegigstf.com/jobi/jobi/dashboard/employer-dashboard-index.html	E:/hb1/html.creativegigstf.com/jobi/jobi/dashboard/employer-dashboard-index.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:01	45878/45878	---M-Z	200	added ('OK')	text/html	etag:%22b336-64b3cf04-4945e16f90145a17;gz%22	https://html.creativegigstf.com/jobi/jobi/index-2.html	E:/hb1/html.creativegigstf.com/jobi/jobi/index-2.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:01	43283/43283	---M-Z	200	added ('OK')	text/html	etag:%22a913-64b3cf04-58a92e389e54506d;gz%22	https://html.creativegigstf.com/jobi/jobi/index-3.html	E:/hb1/html.creativegigstf.com/jobi/jobi/index-3.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:01	51317/51317	---M-Z	200	added ('OK')	text/html	etag:%22c875-64b3cf04-47940e5e4e677375;gz%22	https://html.creativegigstf.com/jobi/jobi/index-4.html	E:/hb1/html.creativegigstf.com/jobi/jobi/index-4.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:02	47195/47195	---M-Z	200	added ('OK')	text/html	etag:%22b85b-64b3cf04-90a245fce81aada5;gz%22	https://html.creativegigstf.com/jobi/jobi/index-5.html	E:/hb1/html.creativegigstf.com/jobi/jobi/index-5.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:02	50852/50852	---M-Z	200	added ('OK')	text/html	etag:%22c6a4-64b3cf04-e8d84fe2172dcbe9;gz%22	https://html.creativegigstf.com/jobi/jobi/index-7.html	E:/hb1/html.creativegigstf.com/jobi/jobi/index-7.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:02	62412/62412	---M-Z	200	added ('OK')	text/html	etag:%22f3cc-64b3cf04-2655903eaae85819;gz%22	https://html.creativegigstf.com/jobi/jobi/job-list-v1.html	E:/hb1/html.creativegigstf.com/jobi/jobi/job-list-v1.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:03	80917/80917	---M-Z	200	added ('OK')	text/html	etag:%2213c15-64b3cf04-1f0f695e8391335;gz%22	https://html.creativegigstf.com/jobi/jobi/job-list-v2.html	E:/hb1/html.creativegigstf.com/jobi/jobi/job-list-v2.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:03	65989/65989	---M-Z	200	added ('OK')	text/html	etag:%22101c5-64b3cf04-86ddb7ea6925b184;gz%22	https://html.creativegigstf.com/jobi/jobi/job-list-v3.html	E:/hb1/html.creativegigstf.com/jobi/jobi/job-list-v3.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:04	62412/62412	---M-Z	200	added ('OK')	text/html	etag:%22f3cc-64b3cf04-a9217682fb6e936a;gz%22	https://html.creativegigstf.com/jobi/jobi/job-grid-v1.html	E:/hb1/html.creativegigstf.com/jobi/jobi/job-grid-v1.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:04	80917/80917	---M-Z	200	added ('OK')	text/html	etag:%2213c15-64b3cf04-fd6c12fc2deb1439;gz%22	https://html.creativegigstf.com/jobi/jobi/job-grid-v2.html	E:/hb1/html.creativegigstf.com/jobi/jobi/job-grid-v2.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:05	80272/80272	---M-Z	200	added ('OK')	text/html	etag:%2213990-64b3cf04-4b6f0c2172794271;gz%22	https://html.creativegigstf.com/jobi/jobi/job-grid-v3.html	E:/hb1/html.creativegigstf.com/jobi/jobi/job-grid-v3.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:05	36163/36163	---M-Z	200	added ('OK')	text/html	etag:%228d43-64b3cf04-cfcd3c556b10b5a3;gz%22	https://html.creativegigstf.com/jobi/jobi/job-details-v1.html	E:/hb1/html.creativegigstf.com/jobi/jobi/job-details-v1.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:05	30999/30999	---M-Z	200	added ('OK')	text/html	etag:%227917-64b3cf04-99ac85ac4f9e8a35;gz%22	https://html.creativegigstf.com/jobi/jobi/job-details-v2.html	E:/hb1/html.creativegigstf.com/jobi/jobi/job-details-v2.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:06	86272/86272	---M-Z	200	added ('OK')	text/html	etag:%2215100-64b3cf04-7d98ff8eb59752ee;gz%22	https://html.creativegigstf.com/jobi/jobi/candidates-v1.html	E:/hb1/html.creativegigstf.com/jobi/jobi/candidates-v1.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:06	86272/86272	---M-Z	200	added ('OK')	text/html	etag:%2215100-64b3cf04-e1b0ee4a3ed01681;gz%22	https://html.creativegigstf.com/jobi/jobi/candidates-v2.html	E:/hb1/html.creativegigstf.com/jobi/jobi/candidates-v2.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:06	85892/85892	---M-Z	200	added ('OK')	text/html	etag:%2214f84-64b3cf04-47d19b1d7842faa7;gz%22	https://html.creativegigstf.com/jobi/jobi/candidates-v3.html	E:/hb1/html.creativegigstf.com/jobi/jobi/candidates-v3.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:07	85892/85892	---M-Z	200	added ('OK')	text/html	etag:%2214f84-64b3cf04-ee719a8f13cd371a;gz%22	https://html.creativegigstf.com/jobi/jobi/candidates-v4.html	E:/hb1/html.creativegigstf.com/jobi/jobi/candidates-v4.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:07	37231/37231	---M-Z	200	added ('OK')	text/html	etag:%22916f-64b3cf04-67a3dffafabd523d;gz%22	https://html.creativegigstf.com/jobi/jobi/candidate-profile-v1.html	E:/hb1/html.creativegigstf.com/jobi/jobi/candidate-profile-v1.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
11:58:08	38947/38947	---M-Z	200	added ('OK')	text/html	etag:%229823-64b3cf04-e1a621c195ab86b4;gz%22	https://html.creativegigstf.com/jobi/jobi/candidate-profile-v2.html	E:/hb1/html.creativegigstf.com/jobi/jobi/candidate-profile-v2.html	(from https://html.creativegigstf.com/jobi/jobi/index-6.html)
